	id сделки	брокер	тикер	валюта	тип сделки	цена покупки	цель 1	цель 2	цель 3	стоп	дата покупки	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	ошибка
40	40	-1001735653757	#MRNA	валюта	L	цена покупки	64	167	170	155	2022-07-07 12:45:28+00:00	2022-07-07 13:44:05+00:00	2022-07-07 13:51:13+00:00	2022-07-07 14:47:36+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
44	44	-1001735653757	#MTLR	валюта	S	цена покупки	9,82	117,76	115,0	126,14	2022-07-08 07:14:52+00:00	2022-07-11 09:21:28+00:00	2022-07-11 14:12:18+00:00	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
46	46	-1001735653757	#BANEP	валюта	L	цена покупки	75	765	780	714	2022-07-08 10:54:50+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
47	47	-1001735653757	#COIN	валюта	L	цена покупки	58,27	59,97	61,69	53,77	2022-07-08 14:27:55+00:00	2022-07-08 14:38:51+00:00	2022-07-08 14:48:52+00:00	2022-07-08 15:21:36+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
52	52	-1001735653757	#RASP	валюта	S	цена покупки	282,65	73,11	264,40	306	2022-07-11 07:29:54+00:00	2022-07-12 07:18:56+00:00	2022-07-13 09:59:56+00:00	2022-07-13 14:14:36+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
54	54	-1001735653757	#WYNN	валюта	L	цена покупки	54,72	56,31	57,84	50,41	2022-07-11 12:12:15+00:00	2022-07-12 14:30:13+00:00	2022-07-18 12:04:14+00:00	2022-07-18 16:19:16+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
55	55	-1001735653757	#MARA	валюта	S	цена покупки	7,74	7,5	7,27	8,44	2022-07-11 13:49:39+00:00	2022-07-11 13:53:39+00:00	2022-07-12 13:53:04+00:00	2022-07-13 12:46:54+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
59	59	-1001735653757	#AFKS	валюта	S	цена покупки	4,09	13,81	1,50	14,8	2022-07-12 08:27:56+00:00	2022-07-12 13:26:12+00:00	2022-07-13 08:13:56+00:00	2022-07-13 10:34:00+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
60	60	-1001735653757	#FIVE	валюта	S	цена покупки	070	1048	1026	1130	2022-07-12 09:27:27+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
61	61	-1001735653757	#COIN	валюта	S	цена покупки	5,9	50,9	49,9	54,53	2022-07-12 12:10:47+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
66	66	-1001735653757	#NLMK	валюта	S	цена покупки	29,08	16,54	12,91	135,54	2022-07-13 09:05:45+00:00	2022-07-13 11:16:31+00:00	2022-07-14 13:02:28+00:00	2022-07-19 09:34:32+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка продажи
71	71	-1001735653757	#ROKU	валюта	S	цена покупки	82,70	81,01	79,2	86,94	2022-07-13 12:52:26+00:00	2022-07-14 15:18:47+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
73	73	-1001735653757	#TDOC	валюта	L	цена покупки	4,29	4,13	42,94	39,29	2022-07-13 14:19:17+00:00	2022-07-13 14:34:36+00:00	2022-07-13 15:10:52+00:00	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
76	76	-1001735653757	#NVTK	валюта	S	цена покупки	905	886	868	952	2022-07-14 07:27:49+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
77	77	-1001735653757	#SNGS	валюта	L	цена покупки	25,8	5,68	26,17	23,96	2022-07-14 08:31:57+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
79	79	-1001735653757	#ATRA	валюта	L	цена покупки	4,9	4,31	4,42	3,85	2022-07-14 13:20:19+00:00	дата цель 1	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
81	81	-1001735653757	#JD	валюта	S	цена покупки	59,83	58,61	57,9	62,89	2022-07-14 14:49:00+00:00	2022-07-15 13:33:08+00:00	2022-07-15 13:57:42+00:00	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
83	83	-1001735653757	#Z	валюта	L	цена покупки	34,95	35,97	6,99	32,24	2022-07-14 16:04:14+00:00	2022-07-18 12:30:07+00:00	2022-07-19 16:04:27+00:00	2022-07-20 13:33:32+00:00	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
84	84	-1001735653757	#RUAL	валюта	L	цена покупки	49,93	50,91	51,9	47,48	2022-07-15 07:33:31+00:00	2022-07-15 10:33:10+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
85	85	-1001735653757	#PHOR	валюта	L	цена покупки	7534	768	780	7161	2022-07-15 08:39:50+00:00	2022-07-18 07:06:37+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	проверено 1
92	92	-1001735653757	#AFKS	валюта	L	цена покупки	3,83	14,10	14,7	13,15	2022-07-15 14:27:39+00:00	2022-07-18 07:09:01+00:00	дата цель 2	дата цель 3	дата стоп	финансовый результат	стоп маркер	ликвидность бумаги	некорректная сделка покупки
